employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id,employment_type,is_remote
100,Steven,King,SKING,515.123.4567,1987-06-17,AD_PRES,24000,,,90,full_time,false
101,Neena,Kochhar,NKOCHHAR,515.123.4568,1989-09-21,AD_VP,17000,,100,90,full_time,false
102,Lex,De Haan,LDEHAAN,515.123.4569,1993-01-13,AD_VP,17000,,100,90,full_time,false
103,Alexander,Hunold,AHUNOLD,590.423.4567,1990-01-03,IT_PROG,9000,,102,60,full_time,false
104,Bruce,Ernst,BERNST,590.423.4568,1991-05-21,IT_PROG,6000,,103,60,full_time,false
105,David,Austin,DAUSTIN,590.423.4569,1997-06-25,IT_PROG,4800,,103,60,full_time,false
106,Valli,Pataballa,VPATABAL,590.423.4560,1998-02-05,IT_PROG,4800,,103,60,full_time,false
107,Diana,Lorentz,DLORENTZ,590.423.5567,1999-02-07,IT_PROG,4200,,103,60,full_time,false
108,Nancy,Greenberg,NGREENBE,515.124.4569,1994-08-17,FI_MGR,12000,,101,100,full_time,false
109,Daniel,Faviet,DFAVIET,515.124.4169,1994-08-16,FI_ACCOUNT,9000,,108,100,full_time,false
110,John,Chen,JCHEN,515.124.4269,1997-09-28,FI_ACCOUNT,8200,,108,100,full_time,false
111,Ismael,Sciarra,ISCIARRA,515.124.4369,1997-09-30,FI_ACCOUNT,7700,,108,100,full_time,false
112,Jose Manuel,Urman,JMURMAN,515.124.4469,1998-03-07,FI_ACCOUNT,7800,,108,100,full_time,false
113,Luis,Popp,LPOPP,515.124.4567,1999-12-07,FI_ACCOUNT,6900,,108,100,full_time,false
114,Den,Raphaely,DRAPHEAL,515.127.4561,1994-12-07,PU_MAN,11000,,100,30,full_time,false
115,Alexander,Khoo,AKHOO,515.127.4562,1995-05-18,PU_CLERK,3100,,114,30,full_time,false
116,Shelli,Baida,SBAIDA,515.127.4563,1997-12-24,PU_CLERK,2900,,114,30,full_time,false
117,Sigal,Tobias,STOBIAS,515.127.4564,1997-07-24,PU_CLERK,2800,,114,30,full_time,false
118,Guy,Himuro,GHIMURO,515.127.4565,1998-11-15,PU_CLERK,2600,,114,30,full_time,false
119,Karen,Colmenares,KCOLMENA,515.127.4566,1999-08-10,PU_CLERK,2500,,114,30,full_time,false
120,Matthew,Weiss,MWEISS,650.123.1234,1996-07-18,ST_MAN,8000,,100,50,full_time,false
121,Adam,Fripp,AFRIPP,650.123.2234,1997-04-10,ST_MAN,8200,,100,50,full_time,false
122,Payam,Kaufling,PKAUFLIN,650.123.3234,1995-05-01,ST_MAN,7900,,100,50,full_time,false
123,Shanta,Vollman,SVOLLMAN,650.123.4234,1997-10-10,ST_MAN,6500,,100,50,full_time,false
124,Kevin,Mourgos,KMOURGOS,650.123.5234,1999-11-16,ST_MAN,5800,,100,50,full_time,false
125,Julia,Nayer,JNAYER,650.124.1214,1987-07-16,ST_CLERK,3200,,120,50,full_time,false
126,Irene,Mikkileni,IMIKKILE,650.124.1224,1987-09-28,ST_CLERK,2700,,120,50,full_time,false
127,James,Landry,JLANDRY,650.124.1334,1987-01-14,ST_CLERK,2400,,120,50,full_time,false
128,Steven,Marle,SMARLE,650.124.1434,1987-02-04,ST_CLERK,2200,,120,50,full_time,false
129,Laura,Bissot,LBISSOT,650.124.5234,1987-08-20,ST_CLERK,3300,,121,50,full_time,false
130,Mozhe,Atkinson,MATKINSO,650.124.6234,1987-10-30,ST_CLERK,2800,,121,50,full_time,false
131,James,Marlow,JAMRLOW,650.124.7234,1987-02-16,ST_CLERK,2500,,121,50,full_time,false
132,TJ,Olson,TJOLSON,650.124.8234,1987-04-10,ST_CLERK,2100,,121,50,full_time,false
133,Jason,Mallin,JMALLIN,650.127.1934,1987-06-14,ST_CLERK,3300,,122,50,full_time,false
134,Michael,Rogers,MROGERS,650.127.1834,1987-08-26,ST_CLERK,2900,,122,50,full_time,false
135,Ki,Gee,KGEE,650.127.1734,1987-12-12,ST_CLERK,2400,,122,50,full_time,false
136,Hazel,Philtanker,HPHILTAN,650.127.1634,1987-02-06,ST_CLERK,2200,,122,50,full_time,false
137,Renske,Ladwig,RLADWIG,650.121.1234,1987-07-14,ST_CLERK,3600,,123,50,full_time,false
138,Stephen,Stiles,SSTILES,650.121.2034,1987-10-26,ST_CLERK,3200,,123,50,full_time,false
139,John,Seo,JSEO,650.121.2019,1987-02-12,ST_CLERK,2700,,123,50,full_time,false
140,Joshua,Patel,JPATEL,650.121.1834,1987-04-06,ST_CLERK,2500,,123,50,full_time,false
141,Trenna,Rajs,TRAJS,650.121.8009,1987-10-17,ST_CLERK,3500,,124,50,full_time,false
142,Curtis,Davies,CDAVIES,650.121.2994,1987-01-29,ST_CLERK,3100,,124,50,full_time,false
143,Randall,Matos,RMATOS,650.121.2874,1987-03-15,ST_CLERK,2600,,124,50,full_time,false
144,Peter,Vargas,PVARGAS,650.121.2004,1987-07-09,ST_CLERK,2500,,124,50,full_time,false
145,John,Russell,JRUSSEL,011.44.1344.429268,1996-10-01,SA_MAN,14000,0.40,100,80,full_time,false
146,Karen,Partners,KPARTNER,011.44.1344.467268,1997-01-05,SA_MAN,13500,0.30,100,80,full_time,false
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,1997-03-10,SA_MAN,12000,0.30,100,80,full_time,false
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,1999-10-15,SA_MAN,11000,0.30,100,80,full_time,false
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,2000-01-29,SA_MAN,10500,0.20,100,80,full_time,false
150,Peter,Tucker,PTUCKER,011.44.1344.129268,1997-01-30,SA_REP,10000,0.30,145,80,full_time,false
151,David,Bernstein,DBERNSTE,011.44.1344.345268,1997-03-24,SA_REP,9500,0.25,145,80,full_time,false
152,Peter,Hall,PHALL,011.44.1344.478968,1997-08-20,SA_REP,9000,0.25,145,80,full_time,false
153,Christopher,Olsen,COLSEN,011.44.1344.498718,1998-03-30,SA_REP,8000,0.20,145,80,full_time,false
